emoji,hexcode,hfg-priority,hfg-tags
👩‍👩‍👧‍👧,1F469-200D-1F469-200D-1F467-200D-1F467,3,
👩‍💻,1F469-200D-1F4BB,3,
👩‍💼,1F469-200D-1F4BC,3,
👩‍🔧,1F469-200D-1F527,3,
👩‍🔬,1F469-200D-1F52C,3,
👩‍🚀,1F469-200D-1F680,3,
👩‍🚒,1F469-200D-1F692,3,
👩‍⚕️,1F469-200D-2695-FE0F,3,
👩‍⚖️,1F469-200D-2696-FE0F,3,
👩‍✈️,1F469-200D-2708-FE0F,3,
👩‍❤️‍👨,1F469-200D-2764-FE0F-200D-1F468,3,
👩‍❤️‍👩,1F469-200D-2764-FE0F-200D-1F469,3,
👩‍❤️‍💋‍👨,1F469-200D-2764-FE0F-200D-1F48B-200D-1F468,3,
👩‍❤️‍💋‍👩,1F469-200D-2764-FE0F-200D-1F48B-200D-1F469,3,
👪️,1F46A,3,
👫,1F46B,3,
👬,1F46C,3,
👭,1F46D,3,
👮,1F46E,3,
👮‍♀️,1F46E-200D-2640-FE0F,4,
👮‍♂️,1F46E-200D-2642-FE0F,4,
👯,1F46F,3,
👯‍♀️,1F46F-200D-2640-FE0F,4,
👯‍♂️,1F46F-200D-2642-FE0F,4,
👰,1F470,3,
👱,1F471,4,
